input,output
"Check algorithm: Start Input A,B C=A+B Print C Stop","Correct algorithm. It correctly adds two numbers."
"Check algorithm: Start Input A,B Print C Stop","Incorrect algorithm. Variable C is not defined before printing."
"Check algorithm: Start Input N S=N*N Print S Stop","Correct algorithm. It correctly calculates square of a number."
"Check algorithm: Start Input N Print S Stop","Incorrect algorithm. Variable S is not defined."
"Check algorithm: Start Input N If N%2==0 Print Even Else Print Odd Stop","Correct algorithm. It correctly checks even or odd."
"Check algorithm: Start Input N If N%2==0 Print Even Stop","Incorrect algorithm. Missing Else condition for odd numbers."
"Check algorithm: Start Input A,B If A>B Print A Else Print B Stop","Correct algorithm. It correctly finds the largest number."
"Check algorithm: Start Input A,B If A>B Print B Else Print A Stop","Incorrect algorithm. Logic is incorrect for largest number."
"Check algorithm: Start Input N Sum=0 For i=1 to N Sum=Sum+i Print Sum Stop","Correct algorithm. It correctly calculates sum of first N numbers."
"Check algorithm: Start Input N For i=1 to N Sum=Sum+i Print Sum Stop","Incorrect algorithm. Sum variable not initialized."
"Check algorithm: Start Input N Fact=1 For i=1 to N Fact=Fact*i Print Fact Stop","Correct algorithm. It correctly calculates factorial."
"Check algorithm: Start Input N For i=1 to N Fact=Fact*i Print Fact Stop","Incorrect algorithm. Factorial variable not initialized."
"Check algorithm: Start Input A,B Temp=A A=B B=Temp Print A,B Stop","Correct algorithm. It correctly swaps two numbers."
"Check algorithm: Start Input A,B A=B B=A Print A,B Stop","Incorrect algorithm. Swap logic is incorrect."
"Check algorithm: Start Input A,B,C If A>B and A>C Print A Else If B>C Print B Else Print C Stop","Correct algorithm. It correctly finds largest of three numbers."
"Check algorithm: Start Input A,B,C Print A Stop","Incorrect algorithm. Does not compare all numbers."
"Check algorithm: Start Input N Rev=0 While N>0 R=N%10 Rev=Rev*10+R N=N/10 Print Rev Stop","Correct algorithm. It correctly reverses the number."
"Check algorithm: Start Input N Print Rev Stop","Incorrect algorithm. Reverse variable not defined."
"Check algorithm: Start Input N Count=0 For i=1 to N If N%i==0 Count=Count+1 If Count==2 Print Prime Else Print NotPrime Stop","Correct algorithm. It correctly checks prime number."
"Check algorithm: Start Input N Print Prime Stop","Incorrect algorithm. Prime logic missing."
"Check algorithm: Start Input marks If marks>=90 Print Excellent Else Print Fail Stop","Correct algorithm. It correctly evaluates grade."
"Check algorithm: Start Input marks Print Grade Stop","Incorrect algorithm. Grade logic missing."
"Check algorithm: Start Input N Cube=N*N*N Print Cube Stop","Correct algorithm. It correctly calculates cube."
"Check algorithm: Start Input N Print Cube Stop","Incorrect algorithm. Cube variable not defined."
"Check algorithm: Start Input A,B Sum=A+B Print Sum Stop","Correct algorithm. Addition logic is correct."
"Check algorithm: Start Input A,B Sum=A-B Print Sum Stop","Incorrect algorithm. It performs subtraction instead of addition."
"Check algorithm: Start Input radius Area=3.14*radius*radius Print Area Stop","Correct algorithm. It correctly calculates circle area."
"Check algorithm: Start Input radius Print Area Stop","Incorrect algorithm. Area variable not defined."
"Check algorithm: Start Input length,breadth Area=length*breadth Print Area Stop","Correct algorithm. Rectangle area calculation is correct."
"Check algorithm: Start Input length,breadth Print Area Stop","Incorrect algorithm. Area variable missing."
